,stime,uid,etime,lat,lng,stated,grid
834,2016-09-05 22:52:37,0d69a07015d3b541179f3553847e810b,2016-09-05 22:52:37,26.65063406,106.65492320000001,0,3802.0
835,2016-09-05 22:52:57,0d69a07015d3b541179f3553847e810b,2016-09-05 22:52:57,26.65063406,106.65492320000001,0,3802.0
836,2016-09-05 22:53:17,0d69a07015d3b541179f3553847e810b,2016-09-05 22:53:17,26.65063406,106.65492320000001,0,3802.0
837,2016-09-05 22:54:08,0d69a07015d3b541179f3553847e810b,2016-09-05 22:54:08,26.65063406,106.65492320000001,0,3802.0
838,2016-09-05 22:57:44,0d69a07015d3b541179f3553847e810b,2016-09-05 22:57:44,26.65063406,106.65492320000001,0,3802.0
839,2016-09-05 22:58:49,0d69a07015d3b541179f3553847e810b,2016-09-05 23:13:12,26.63447505,106.65314509999999,1,3616.0
840,2016-09-05 23:14:48,0d69a07015d3b541179f3553847e810b,2016-09-05 23:14:48,26.65063406,106.65492320000001,0,3802.0
841,2016-09-05 23:15:13,0d69a07015d3b541179f3553847e810b,2016-09-05 23:15:13,26.65063406,106.65492320000001,0,3802.0
842,2016-09-05 23:20:01,0d69a07015d3b541179f3553847e810b,2016-09-05 23:20:01,26.65063406,106.65492320000001,0,3802.0
843,2016-09-05 23:22:49,0d69a07015d3b541179f3553847e810b,2016-09-05 23:59:59,26.63447505,106.65314509999999,1,3616.0
844,2016-09-05 00:23:42,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 10:26:28,26.61137865,106.6476021,1,3304.0
845,2016-09-05 11:18:15,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 11:18:15,26.60992661,106.6399104,0,3241.0
846,2016-09-05 11:32:24,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 11:48:24,26.60623494,106.64198090000001,1,3179.0
847,2016-09-05 12:07:16,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 13:54:37,26.61137865,106.6476021,1,3304.0
848,2016-09-05 14:04:45,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 14:04:45,26.60706319,106.637879,0,3240.0
849,2016-09-05 14:14:04,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 14:14:04,26.60002724,106.6590629,0,3121.0
850,2016-09-05 14:15:37,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 14:15:37,26.59959889,106.6679929,0,3123.0
851,2016-09-05 14:16:36,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 14:16:36,26.59911372,106.6755669774,0,3124.0
852,2016-09-05 14:18:42,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 14:18:42,26.59605161,106.70550359999999,0,3069.0
853,2016-09-05 14:39:36,f7458ba4e78e8c1fc00ba84bdb64d3df,2016-09-05 15:33:30,26.5740864333,106.7210025667,1,2762.0
