stime,uid,etime,lat,lng,stated,grid
2016-09-05 20:51:05,d95a6332a1cb373195242b2186f65d2c,2016-09-05 21:07:05,26.5610801634,106.4816031409,1,19674
2016-09-05 21:53:08,d95a6332a1cb373195242b2186f65d2c,2016-09-05 22:47:10,26.5727057179,106.491944377,1,20166
2016-09-05 23:25:56,d95a6332a1cb373195242b2186f65d2c,2016-09-05 23:25:56,26.4937329802,106.5269723474,0,16009
2016-09-05 23:40:05,d95a6332a1cb373195242b2186f65d2c,2016-09-05 23:40:05,26.5098232395,106.6878000088,0,16779
2016-09-05 08:30:11,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 08:42:38,26.5725559687,106.4727373341,1,20162
2016-09-05 09:03:25,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 09:03:25,26.5625805932,106.4938266578,0,19677
2016-09-05 09:14:21,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 09:57:38,26.56236249,106.4831769,1,19674
2016-09-05 10:21:49,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 10:21:49,26.56258059,106.4938267,0,19677
2016-09-05 10:25:26,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 10:25:26,26.56236249,106.4831769,0,19674
2016-09-05 10:25:35,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 10:25:35,26.56236249,106.4831769,0,19674
2016-09-05 13:06:05,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 13:22:05,26.56258059,106.4938267,1,19677
2016-09-05 14:29:42,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 15:02:40,26.56236249,106.4831769,1,19674
2016-09-05 18:31:06,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 18:47:06,26.56258059,106.4938267,1,19677
2016-09-05 18:48:13,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 19:04:19,26.56236249,106.4831769,1,19674
2016-09-05 19:43:57,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:09:24,26.5725559687,106.4727373341,1,20162
2016-09-05 20:10:23,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:10:23,26.57508828,106.4872555,0,20410
2016-09-05 20:13:11,8ec74e87a094d42e4f4a6d180bc1195b,2016-09-05 20:13:11,26.57508828,106.4872555,0,20410
